timestamp,x_coordinate,y_coordinate,Str_angl,vx
0.021,0,0,0,68.7764
0.021,0,0,0,68.7764
0.021,0,0,0,68.7764
0.034,-0.888999999999996,0.0910000000000082,0.23625,68.7886
0.047,-1.77799999999999,0.182999999999993,0.4725,68.8007
0.06,-2.66759999999999,0.274000000000001,0.70875,68.8128
0.0738,-3.61229999999999,0.371000000000009,1.134,68.8205
0.0876,-4.557,0.467999999999989,1.55925,68.8281
0.1014,-5.5017,0.563999999999993,1.9845,68.8357
0.1152,-6.4464,0.661000000000001,2.40975,68.8433
0.129,-7.39109999999999,0.75800000000001,2.835,68.851
0.147,-8.6241,0.884999999999991,2.69325,68.863
0.165,-9.8571,1.011,2.5514973,68.875
0.183,-11.0902,1.13800000000001,2.4097473,68.887
0.19425,-11.8612,1.21699999999998,1.8073098,68.8965
0.2055,-12.6322,1.297,1.204875,68.906
0.21675,-13.4033,1.37700000000001,0.6024375,68.9155
0.228,-14.1743,1.45599999999999,0,68.925
0.244,-15.2714,1.56999999999999,0,68.9357
0.26,-16.3684,1.684,0,68.9464
0.276,-17.4655,1.797,0,68.9572
0.291,-18.4945,1.904,0,68.968
0.306,-19.5235,2.011,0,68.9789
0.321,-20.5525,2.11799999999999,0,68.9897
0.339,-21.7876,2.24799999999999,0,69.0321
0.3522,-22.6938,2.34299999999999,0,69.0392
0.3654,-23.6,2.43799999999999,0,69.0463
0.3786,-24.5062,2.53299999999999,0,69.0533
0.3918,-25.4125,2.62799999999999,0,69.0604
0.405,-26.3187,2.72399999999999,0,69.0675
0.4215,-27.4521,2.84299999999999,0,69.0842
0.438,-28.5854,2.96199999999999,0,69.1008
0.4518,-29.5339,3.06200000000001,0,69.1091
0.4656,-30.4823,3.16200000000001,0,69.1175
0.4794,-31.4307,3.262,0,69.1258
0.4932,-32.3791,3.36199999999999,0,69.1341
0.507,-33.3275,3.46199999999999,0,69.1424
0.5235,-34.4622,3.58199999999999,0,69.1605
0.54,-35.5968,3.70099999999999,0,69.1786
0.5532,-36.505,3.797,0,69.1854
0.5664,-37.4132,3.893,0,69.1922
0.5796,-38.3214,3.988,0,69.199
0.5928,-39.2297,4.084,0,69.2058
0.606,-40.1379,4.18000000000001,0,69.2126
0.621,-41.1705,4.28800000000001,0,69.2289
0.636,-42.2031,4.39599999999999,0,69.2452
0.653,-43.3739,4.51900000000001,0,69.2573
0.67,-44.5448,4.642,0,69.2694
0.687,-45.7156,4.76400000000001,0,69.2815
0.702,-46.7493,4.87299999999999,0,69.2906
0.717,-47.7831,4.98099999999999,0,69.2997
0.732,-48.8168,5.089,0,69.3088
0.747,-49.8505,5.197,0,69.3179
0.759,-50.678,5.28399999999999,0,69.3293
0.771,-51.5055,5.37,0,69.3408
0.783,-52.3329,5.45599999999999,0,69.3522
0.79725,-53.3161,5.559,0.1771875,69.3614
0.8115,-54.2992,5.661,0.354375,69.3705
0.82575,-55.2823,5.76300000000001,0.5315625,69.3797
0.84,-56.2655,5.86599999999999,0.70875,69.3888
0.855,-57.301,5.97299999999998,1.4175,69.4001
0.87,-58.3364,6.08099999999999,2.12625,69.4115
0.885,-59.3719,6.18899999999999,2.835,69.4228
0.901,-60.4769,6.304,2.69325,69.4352
0.917,-61.582,6.41900000000001,2.5514973,69.4476
0.933,-62.687,6.53399999999999,2.4097473,69.46
0.947,-63.6543,6.636,1.6065,69.4699
0.961,-64.6217,6.73699999999999,0.80325,69.4798
0.975,-65.589,6.83799999999999,0,69.4897
0.987,-66.4185,6.92500000000001,0,69.4993
0.999,-67.248,7.012,0,69.5088
1.011,-68.0775,7.09899999999999,0,69.5184
1.023,-68.907,7.18600000000001,0,69.5279
1.038,-69.9444,7.29599999999999,0,69.5402
1.053,-70.9817,7.405,0,69.5525
1.068,-72.0191,7.51499999999999,0,69.5648
1.085,-73.1953,7.63900000000001,0,69.5747
1.102,-74.3715,7.76400000000001,0,69.5847
1.119,-75.5476,7.88800000000001,0,69.5946
1.13,-76.309,7.96899999999999,0,69.6069
1.141,-77.0704,8.05000000000001,0,69.6193
1.152,-77.8318,8.131,0,69.6316
1.17,-79.0782,8.26300000000001,0,69.6484
1.188,-80.3246,8.39599999999999,0,69.6652
1.2015,-81.2598,8.495,0,69.6734
1.215,-82.195,8.595,0,69.6816
1.2285,-83.1302,8.69399999999999,0,69.6898
1.242,-84.0654,8.79400000000001,0,69.698
1.259,-85.2437,8.91900000000001,0,69.7102
1.276,-86.4221,9.04400000000001,0,69.7225
1.293,-87.6004,9.16999999999999,0,69.7348
1.306,-88.5019,9.26499999999999,0,69.7451
1.319,-89.4034,9.36099999999999,0,69.7553
1.332,-90.3049,9.45699999999999,0,69.7656
1.3458,-91.2625,9.559,0,69.7728
1.3596,-92.22,9.66,0,69.7799
1.3734,-93.17755,9.762,0,69.7871
1.3872,-94.13509,9.863,0,69.7943
1.401,-95.09263,9.965,0,69.8015
1.416,-96.13397,10.076,-0.14175,69.8176
1.431,-97.17531,10.186,-0.2835,69.8337
1.443,-98.00863,10.274,-1.4175,69.8512
1.455,-98.84194,10.362,-2.5515,69.8687
1.47,-99.88417,10.472,-2.0412,69.8747
1.485,-100.9264,10.582,-1.5309,69.8808
1.5,-101.968629,10.692,-1.0206,69.8868
1.515,-103.010858,10.802,-0.5103,69.8928
1.53,-104.05309,10.912,0,69.8988
1.548,-105.30439,11.043,0,69.9361
1.561,-106.20862,11.138,0,69.9415
1.574,-107.11285,11.233,0,69.9469
1.587,-108.01708,11.327,0,69.9523
1.6,-108.92131,11.422,0,69.9577
1.613,-109.82553,11.517,0,69.9631
1.626,-110.72976,11.611,0,69.9685
1.641,-111.77381,11.72,0,69.9791
1.656,-112.8179,11.829,0,69.9897
1.671,-113.8619,11.937,0,70.0002
1.684,-114.7672,12.031,0,70.0116
1.697,-115.6724,12.125,0,70.023
1.71,-116.5776,12.219,0,70.0343
1.7295,-117.9361,12.359,0,70.052
1.749,-119.2946,12.5,0,70.0697
1.7622,-120.2147,12.595,0,70.075
1.7754,-121.1348,12.689,0,70.0802
1.7886,-122.0549,12.784,0,70.0855
1.8018,-122.975,12.879,0,70.0908
1.815,-123.8951,12.974,0,70.096
1.832,-125.0808,13.096,-0.04725,70.1095
1.849,-126.2665,13.218,-0.0945,70.123
1.866,-127.4522,13.34,-0.14175,70.1364
1.879,-128.3594,13.433,-0.89775,70.1483
1.892,-129.2666,13.526,-1.65375,70.1602
1.905,-130.1738,13.62,-2.40975,70.1721
1.917,-131.0117,13.705,-2.941299,70.18
1.929,-131.8495,13.791,-3.472875,70.1879
1.941,-132.6873,13.876,-4.004424,70.1958
1.953,-133.5252,13.962,-4.536,70.2037
1.969,-134.6429,14.075,-3.024,70.214
1.985,-135.7606,14.189,-1.512,70.2244
2.001,-136.8783,14.302,0,70.2348
2.015,-137.8568,14.4,0,70.2463
2.029,-138.8353,14.499,0,70.2578
2.043,-139.8138,14.597,0,70.2693
2.06,-141.0026,14.716,0,70.2795
2.077,-142.1915,14.835,0,70.2898
2.094,-143.3803,14.954,0,70.3
2.106,-144.22,15.037,0,70.309
2.118,-145.0596,15.12,0,70.3179
2.13,-145.8993,15.203,0,70.3269
2.142,-146.7389,15.286,0,70.3358
2.157,-147.7889,15.39,0,70.3694
2.1705,-148.7344,15.482,0,70.3745
2.184,-149.6799,15.574,0,70.3795
2.1975,-150.6255,15.667,0,70.3846
2.211,-151.571,15.759,0,70.3897
2.2245,-152.5165,15.852,0,70.3948
2.238,-153.462,15.944,0,70.3999
2.256,-154.7233,16.066,0,70.4313
2.27175,-155.8275,16.173,0,70.4403
2.2875,-156.9317,16.28,0,70.4493
2.30325,-158.0358,16.387,0,70.4582
2.319,-159.14,16.494,0,70.4672
2.331,-159.9817,16.575,0,70.478
2.343,-160.8235,16.656,0,70.4888
2.355,-161.6652,16.737,0,70.4996
2.3688,-162.6337,16.83,0,70.5057
2.3826,-163.6022,16.923,0,70.5118
2.3964,-164.5707,17.016,0,70.5179
2.4102,-165.5392,17.109,0,70.524
2.424,-166.5077,17.202,0,70.53
2.442,-167.7717,17.323,0,70.5479
2.46,-169.0357,17.444,0,70.5658
